timestamp,institutionType,institutionName,unitName,location,jobTitle,clinicSpecialty,clinicPayerType,clinicScale,clinicDuties,clinicShift,dailyPatients,lunchBreak,laborInsurance,holidayCompliance,annualLeave,patientComplaints,violenceRisk,salaryStructure,weeklyHours,overtimePolicy,yearsCurrent,yearsTotal,annualSalary,monthlyBase,annualBonus,specialBenefits,workAtmosphere,promotion,recommendIndex,comment
2025-09-24 19:43,診所,明德眼科診所,眼科,南投縣,櫃檯護理師,眼科,健保特約為主,只有我一人,跟診協助、批價／掛號／櫃檯,早＋午診,60–100,有，但常被中斷／縮短,有，足額投保,依法給,打折,偶爾,中,時薪,35-40,合理範圍給,4,12,66,28,10,彈性工時,3,機會多,3,案件量大但有規矩
2025-09-24 12:59,診所,惠民診所,其他,新北市,診所護理師,其他,健保特約為主,2–3 人,跟診協助、注射／抽血、衛教,早＋午診,60–100,有，完整 1 小時,有，但以多報少,依法給,幾乎無,幾乎沒有,低,月薪＋看診量／獎金,45-50,一律給,7,7,63,26,9,三節禮金,3,難以升遷,2,
2025-09-23,診所,大同骨科復健診所,骨科／復健,南投縣,護理師,骨科／復健,健保特約為主,只有我一人,批價／掛號／櫃檯、給藥／藥品調劑協助,週末門診輪值,150 以上,無,有，足額投保,依法給,依法給足,幾乎沒有,低,固定月薪,45-50,合理範圍給,4,12,64,27,10,年節獎金,3,機會多,3,案件多但學得快
2025-09-22,診所,康仁皮膚科診所,皮膚科,桃園市,護理長,皮膚科,兩者皆有,2–3 人,跟診協助、注射／抽血、衛教,含夜診,60–100,有，完整 1 小時,無,無／不清楚,幾乎無,罕見,低,固定月薪,45-50,一律給,6,10,93,39,14,三節禮金,3,難以升遷,2,人力過勞且無加班費
2025-09-21,診所,大同耳鼻喉科診所,耳鼻喉科,彰化縣,跟診護理師,耳鼻喉科,健保特約為主,2–3 人,跟診協助、批價／掛號／櫃檯,早＋午診,30 以下,有，完整 1 小時,有，但以多報少,無／不清楚,依法給足,偶爾,低,月薪＋看診量／獎金,45-50,一律給,7,6,73,31,11,彈性工時,3,難以升遷,2,leader 形同虛設
2025-09-19 18:49,診所,家和內科診所,家醫／一般內科,桃園市,櫃檯護理師,家醫／一般內科,健保特約為主,2–3 人,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,早＋午診,150 以上,有，完整 1 小時,有，足額投保,依法給,打折,幾乎沒有,低,固定月薪,45-50,主管判斷,4,7,73,31,11,年節獎金,3,難以升遷,2,
2025-09-18 10:19,診所,杏一牙醫診所,牙科,基隆市,櫃檯護理師,牙科,健保特約為主,只有我一人,跟診協助、批價／掛號／櫃檯,純早診,150 以上,無,有，足額投保,依法給,依法給足,幾乎沒有,低,固定月薪,35-40,主管判斷,7,4,67,28,10,員工旅遊補助,3,機會多,3,
2025-09-17 20:33,診所,家和中醫診所,中醫,宜蘭縣,護理長,中醫,健保特約為主,4 人以上,跟診協助、注射／抽血、衛教,純早診,150 以上,有，但常被中斷／縮短,無,無／不清楚,打折,經常,低,固定月薪,40-45,主管判斷,3,4,108,45,16,年節獎金,3,普通,2,新人訓練紮實
2025-09-16,診所,大同中醫診所,中醫,桃園市,護理師,中醫,兩者皆有,4 人以上,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,純早診,60–100,有，完整 1 小時,有，足額投保,部分,依法給足,罕見,低,月薪＋看診量／獎金,45-50,合理範圍給,6,13,57,24,9,,3,普通,2,主管管太細
2025-09-16,診所,仁愛洗腎診所,洗腎診所,嘉義市,跟診護理師,洗腎診所,健保特約為主,2–3 人,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,早＋午診,100–150,有，完整 1 小時,有，足額投保,部分,依法給足,經常,中,時薪,35-40,一律給,6,2,62,26,9,三節禮金,3,普通,3,
